property_id,person_id,record_id,owned_rented
170,P1900_000169,781,NULL
171,P1900_00017,782,NULL
172,P1900_000171,783,NULL
173,P1900_000172,784,NULL
174,P1900_000173,785,NULL
175,P1900_000174,786,NULL
176,P1900_000175,787,NULL
177,P1900_000176,788,NULL
178,P1900_000177,789,R
179,P1900_000178,790,NULL
180,P1900_000179,791,NULL
181,P1900_00018,792,NULL
182,P1900_000181,793,NULL
183,P1900_000182,794,O
184,P1900_000183,795,NULL
185,P1900_000184,796,NULL
186,P1900_000185,797,NULL
187,P1920_,612,NULL
188,P1920_000001,613,NULL
189,P1920_000002,614,NULL
190,P1920_000003,615,R
191,P1920_000004,616,NULL
192,P1920_000005,617,NULL
193,P1920_000006,618,R
194,P1920_000007,619,NULL
195,P1920_000008,620,NULL
196,P1920_000009,621,NULL
197,P1920_00001,622,NULL
198,P1920_000011,623,NULL
199,P1920_000012,624,NULL
200,P1920_000013,625,O
201,P1920_000014,626,NULL
202,P1920_000015,627,NULL
203,P1920_000016,628,NULL
204,P1920_000017,629,NULL
205,P1920_000018,630,NULL
206,P1920_000019,631,O
207,P1920_00002,632,NULL
208,P1920_000021,633,NULL
209,P1920_000022,634,NULL
210,P1920_000023,635,NULL
211,P1920_000024,636,NULL
212,P1920_000025,637,NULL
213,P1920_000026,638,NULL
214,P1920_000027,639,NULL
215,P1920_000028,640,NULL
216,P1920_000029,641,O
217,P1920_00003,642,NULL
218,P1920_000031,643,NULL
219,P1920_000032,644,NULL
220,P1920_000033,645,NULL
221,P1920_000034,646,NULL
222,P1920_000035,647,NULL
223,P1920_000036,648,O
224,P1920_000037,649,NULL
225,P1920_000038,650,NULL
226,P1920_000039,651,NULL
227,P1920_00004,652,NULL
228,P1920_000041,653,NULL
229,P1920_000042,654,NULL
230,P1920_000043,655,O
231,P1920_000044,656,NULL
232,P1920_000045,657,NULL
233,P1920_000046,658,NULL
234,P1920_000047,659,NULL
235,P1920_000048,660,NULL
236,P1920_000049,661,NULL
237,P1920_00005,662,NULL
238,P1920_000051,663,NULL
239,P1920_000052,664,NULL
240,P1920_000053,665,NULL
241,P1920_000054,666,NULL
242,P1920_000055,667,NULL
243,P1920_000056,668,NULL
244,P1920_000057,669,O
245,P1920_000058,670,NULL
246,P1920_000059,671,NULL
247,P1920_00006,672,NULL
248,P1920_000061,673,NULL
249,P1920_000062,674,NULL
250,P1920_000063,675,NULL
251,P1920_000064,676,NULL
252,P1920_000065,677,NULL
253,P1920_000066,678,NULL
254,P1920_000067,679,NULL
255,P1920_000068,680,NULL
256,P1920_000069,681,R
257,P1920_00007,682,NULL
258,P1920_000071,683,NULL
259,P1920_000072,684,NULL
260,P1920_000073,685,NULL
261,P1920_000074,686,NULL
262,P1920_000075,687,R
263,P1920_000076,688,NULL
264,P1920_000077,689,NULL
265,P1920_000078,690,NULL
266,P1920_000079,691,NULL
267,P1920_00008,692,R
268,P1920_000081,693,NULL
269,P1920_000082,694,NULL
270,P1920_000083,695,NULL
271,P1920_000084,696,NULL
272,P1920_000085,697,NULL
273,P1920_000086,698,NULL
274,P1920_000087,699,R
275,P1920_000088,700,NULL
276,P1920_000089,701,NULL
277,P1920_00009,702,NULL
278,P1920_000091,703,NULL
279,P1920_000092,704,NULL
280,P1920_000093,705,O
281,P1920_000094,706,NULL
282,P1920_000095,707,O
283,P1920_000096,708,NULL
284,P1920_000097,709,R
285,P1920_000098,710,NULL
286,P1920_000099,711,NULL
287,P1920_0001,712,NULL
288,P1920_000101,713,NULL
289,P1920_000102,714,NULL
290,P1920_000103,715,O
291,P1920_000104,716,NULL
292,P1920_000105,717,NULL
293,P1920_000106,718,NULL
294,P1920_000107,719,NULL
295,P1920_000108,720,NULL
296,P1920_000109,721,NULL
297,P1920_00011,722,O
298,P1920_000111,723,NULL
299,P1920_000112,724,NULL
300,P1920_000113,725,NULL
301,P1920_000114,726,O
302,P1920_000115,727,NULL
303,P1920_000116,728,NULL
304,P1920_000117,729,NULL
305,P1920_000118,730,NULL
306,P1920_000119,731,R
307,P1920_00012,732,NULL
308,P1920_000121,733,NULL
309,P1920_000122,734,NULL
310,P1920_000123,735,NULL
311,P1920_000124,736,NULL
312,P1920_000125,737,R
313,P1920_000126,738,NULL
314,P1920_000127,739,NULL
315,P1920_000128,740,NULL
316,P1920_000129,741,NULL
317,P1920_00013,742,NULL
318,P1920_000131,743,O
319,P1920_000132,744,NULL
320,P1920_000133,745,O
321,P1920_000134,746,NULL
322,P1920_000135,747,NULL
323,P1920_000136,748,NULL
324,P1920_000137,749,O
325,P1920_000138,750,NULL
326,P1920_000139,751,NULL
327,P1920_00014,752,NULL
328,P1920_000141,753,NULL
329,P1920_000142,754,O
330,P1920_000143,755,NULL
331,P1920_000144,756,NULL
332,P1920_000145,757,NULL
333,P1920_000146,758,NULL
334,P1920_000147,759,R
335,P1920_000148,760,NULL
336,P1920_000149,761,O
337,P1920_00015,762,NULL
338,P1920_000151,763,NULL
339,P1920_000152,764,NULL
340,P1920_000153,765,NULL
341,P1920_000154,766,NULL
342,P1920_000155,767,NULL
343,P1920_000156,768,NULL
344,P1920_000157,769,NULL
345,P1920_000158,770,O
346,P1920_000159,771,NULL
347,P1920_00016,772,NULL
348,P1920_000161,773,NULL
349,P1920_000162,774,NULL
350,P1920_000163,775,NULL
351,P1920_000164,776,NULL
352,P1920_000165,777,NULL
353,P1920_000166,778,O
354,P1920_000167,779,NULL
355,P1920_000168,780,NULL
356,P1920_000169,781,NULL
357,P1920_00017,782,O
358,P1920_000171,783,NULL
359,P1920_000172,784,NULL
360,P1920_000173,785,NULL
361,P1920_000174,786,NULL
362,P1920_000175,787,NULL
363,P1920_000176,788,NULL
364,P1920_000177,789,R
365,P1920_000178,790,NULL
366,P1920_000179,791,NULL
367,P1920_00018,792,NULL
368,P1920_000181,793,NULL
369,P1920_000182,794,O
370,P1920_000183,795,NULL
371,P1920_000184,796,NULL
372,P1920_000185,797,NULL
373,P1930_,748,R
374,P1930_000001,749,NULL
375,P1930_000002,750,NULL
376,P1930_000003,751,R
377,P1930_000004,752,NULL
378,P1930_000005,753,NULL
379,P1930_000006,754,NULL
380,P1930_000007,755,NULL
381,P1930_000008,756,NULL
382,P1930_000009,757,NULL
383,P1930_00001,758,NULL
384,P1930_000011,759,NULL
385,P1930_000012,760,O
386,P1930_000013,761,NULL
387,P1930_000014,762,NULL
388,P1930_000015,763,NULL
389,P1930_000016,764,NULL
390,P1930_000017,765,O
391,P1930_000018,766,NULL
392,P1930_000019,767,O
393,P1930_00002,768,NULL
394,P1930_000021,769,NULL
395,P1930_000022,770,NULL
396,P1930_000023,771,O
397,P1930_000024,772,NULL
398,P1930_000025,773,NULL
399,P1930_000026,774,NULL
400,P1930_000027,775,NULL
401,P1930_000028,776,NULL
402,P1930_000029,777,NULL
403,P1930_00003,778,R
404,P1930_000031,779,NULL
405,P1930_000032,780,NULL
406,P1930_000033,781,NULL
407,P1930_000034,782,NULL
408,P1930_000035,783,NULL
409,P1930_000036,784,NULL
410,P1930_000037,785,NULL
411,P1930_000038,786,NULL
412,P1930_000039,787,O
413,P1930_00004,788,NULL
414,P1930_000041,789,NULL
415,P1930_000042,790,NULL
416,P1930_000043,791,O
417,P1930_000044,792,NULL
418,P1930_000045,793,NULL
419,P1930_000046,794,NULL
420,P1930_000047,795,NULL
421,P1930_000048,796,NULL
422,P1930_000049,797,NULL
423,P1940_,737,NULL
424,P1940_000001,738,NULL
425,P1940_000002,739,NULL
426,P1940_000003,740,NULL
427,P1940_000004,741,NULL
428,P1940_000005,742,NULL
429,P1940_000006,743,NULL
430,P1940_000007,744,NULL
431,P1940_000008,745,NULL
432,P1940_000009,746,NULL
433,P1940_00001,747,NULL
434,P1940_000011,748,NULL
435,P1940_000012,749,NULL
436,P1940_000013,750,O
437,P1940_000014,751,NULL
438,P1940_000015,752,NULL
439,P1940_000016,753,NULL
440,P1940_000017,754,NULL
441,P1940_000018,755,NULL
442,P1940_000019,756,NULL
443,P1940_00002,757,NULL
444,P1940_000021,758,NULL
445,P1940_000022,759,NULL
446,P1940_000023,760,NULL
447,P1940_000024,761,NULL
448,P1940_000025,762,NULL
449,P1940_000026,763,NULL
450,P1940_000027,764,O
451,P1940_000028,765,NULL
452,P1940_000029,766,NULL
453,P1940_00003,767,NULL
454,P1940_000031,768,O
455,P1940_000032,769,NULL
456,P1940_000033,770,O
457,P1940_000034,771,NULL
458,P1940_000035,772,NULL
459,P1940_000036,773,NULL
460,P1940_000037,774,NULL
461,P1940_000038,775,NULL
462,P1940_000039,776,NULL
463,P1940_00004,777,NULL
464,P1940_000041,778,NULL
465,P1940_000042,779,NULL
466,P1940_000043,780,NULL
467,P1940_000044,781,NULL
468,P1940_000045,782,NULL
469,P1940_000046,783,NULL
470,P1940_000047,784,NULL
471,P1940_000048,785,NULL
472,P1940_000049,786,O
473,P1940_00005,787,NULL
474,P1940_000051,788,NULL
475,P1940_000052,789,NULL
476,P1940_000053,790,O
477,P1940_000054,791,NULL
478,P1940_000055,792,NULL
479,P1940_000056,793,NULL
480,P1940_000057,794,O
481,P1940_000058,795,NULL
482,P1940_000059,796,NULL
483,P1940_00006,797,NULL
