location_id,record_id,street_name,house_num,build_num,dwelling_number,family_number
188,613,,,,115,125
189,614,,,,115,125
190,615,,,,116,126
191,616,,,,116,126
192,617,,,,116,126
193,618,,,,116,127
194,619,,,,116,127
195,620,,,,116,127
196,621,,,,116,127
197,622,,,,116,127
198,623,,,,116,127
199,624,,,,116,127
200,625,,,,116,127
201,626,,,,116,127
202,627,,,,116,127
203,628,,,,116,127
204,629,,,,116,127
205,630,,,,116,127
206,631,,,,117,129
207,632,,,,117,129
208,633,,,,117,129
209,634,,,,117,129
210,635,,,,117,129
211,636,,,,117,129
212,637,,,,117,129
213,638,,,,117,129
214,639,,,,117,129
215,640,,,,117,129
216,641,,,,118,13
217,642,,,,118,13
218,643,,,,118,13
219,644,,,,118,13
220,645,,,,118,13
221,646,,,,118,13
222,647,,,,118,13
223,648,,,,36,39
224,649,,,,36,39
225,650,,,,36,39
226,651,,,,36,39
227,652,,,,36,39
228,653,,,,36,39
229,654,,,,36,39
230,655,,,,37,4
231,656,,,,37,4
232,657,,,,37,4
233,658,,,,37,4
234,659,,,,37,4
235,660,,,,37,4
236,661,,,,37,4
237,662,,,,37,4
238,663,,,,37,4
239,664,,,,37,4
240,665,,,,37,4
241,666,,,,38,41
242,667,,,,38,41
243,668,,,,38,41
244,669,,,,39,42
245,670,,,,39,42
246,671,,,,39,42
247,672,,,,39,42
248,673,,,,39,42
249,674,,,,39,42
250,675,,,,39,42
251,676,,,,39,42
252,677,,,,39,42
253,678,,,,39,42
254,679,,,,39,42
255,680,,,,39,42
256,681,,,,4,43
257,682,,,,4,43
258,683,,,,4,43
259,684,,,,4,43
260,685,,,,4,43
261,686,,,,4,43
262,687,,,,41,44
263,688,,,,41,44
264,689,,,,41,44
265,690,,,,41,44
266,691,,,,41,44
267,692,,,,42,45
268,693,,,,42,45
269,694,,,,42,45
270,695,,,,42,45
271,696,,,,42,45
272,697,,,,42,45
273,698,,,,42,45
274,699,,,,9,97
275,700,,,,9,97
276,701,,,,9,97
277,702,,,,9,97
278,703,,,,9,97
279,704,,,,9,97
280,705,,,,9,98
281,706,,,,9,98
282,707,,,,91,99
283,708,,,,91,99
284,709,,,,91,1
285,710,,,,91,1
286,711,,,,91,1
287,712,,,,91,1
288,713,,,,91,1
289,714,,,,91,1
290,715,,,,92,101
291,716,,,,92,101
292,717,,,,92,101
293,718,,,,92,101
294,719,,,,92,101
295,720,,,,92,101
296,721,,,,92,101
297,722,,,,93,102
298,723,,,,93,102
299,724,,,,93,102
300,725,,,,93,102
301,726,,,,94,103
302,727,,,,94,103
303,728,,,,94,103
304,729,,,,94,103
305,730,,,,94,103
306,731,,,,95,104
307,732,,,,95,104
308,733,,,,95,104
309,734,,,,95,104
310,735,,,,95,104
311,736,,,,95,104
312,737,,,,96,105
313,738,,,,96,105
314,739,,,,96,105
315,740,,,,96,105
316,741,,,,96,105
317,742,,,,96,105
318,743,,,,97,106
319,744,,,,97,106
320,745,,,,98,107
321,746,,,,98,107
322,747,,,,98,107
323,748,,,,98,107
324,749,,,,99,108
325,750,,,,99,108
326,751,,,,99,108
327,752,,,,99,108
328,753,,,,99,108
329,754,,,,1,109
330,755,,,,1,109
331,756,,,,1,109
332,757,,,,1,109
333,758,,,,1,109
334,759,,,,1,11
335,760,,,,1,11
336,761,,,,101,111
337,762,,,,101,111
338,763,,,,101,111
339,764,,,,101,111
340,765,,,,102,112
341,766,,,,102,112
342,767,,,,102,112
343,768,,,,102,112
344,769,,,,102,112
345,770,,,,102,113
346,771,,,,102,113
347,772,,,,102,113
348,773,,,,102,113
349,774,,,,102,113
350,775,,,,102,113
351,776,,,,102,113
352,777,,,,102,113
353,778,,,,103,114
354,779,,,,103,114
355,780,,,,103,114
356,781,,,,103,114
357,782,,,,112,123
358,783,,,,112,123
359,784,,,,112,123
360,785,,,,112,123
361,786,,,,112,123
362,787,,,,112,123
363,788,,,,112,123
364,789,,,,113,124
365,790,,,,113,124
366,791,,,,113,124
367,792,,,,113,124
368,793,,,,113,124
369,794,,,,114,124
370,795,,,,114,124
371,796,,,,114,124
372,797,,,,115,125
373,748,Baltimore Ave,,,227,233
374,749,Baltimore Ave,,,227,233
375,750,Baltimore Ave,,,227,233
376,751,Baltimore Ave,,,228,234
377,752,Baltimore Ave,,,228,234
378,753,Baltimore Ave,,,228,234
379,754,Baltimore Ave,,,228,234
380,755,Baltimore Ave,,,228,234
381,756,Baltimore Ave,,,228,234
382,757,Baltimore Ave,,,228,234
383,758,Baltimore Ave,,,228,234
384,759,Baltimore Ave,,,228,234
385,760,Pierce Ave,,,229,235
386,761,Pierce Ave,,,229,235
387,762,Pierce Ave,,,229,235
388,763,Pierce Ave,,,229,235
389,764,Pierce Ave,,,229,235
390,765,Michigan Ave,,,23,236
391,766,Michigan Ave,,,23,236
392,767,Michigan Ave,,,231,237
393,768,Michigan Ave,,,231,237
394,769,Michigan Ave,,,231,237
395,770,Michigan Ave,,,231,237
396,771,Baltimore Ave,,,232,238
397,772,Baltimore Ave,,,,
398,773,Baltimore Ave,,,,
399,774,Baltimore Ave,,,,
400,775,Baltimore Ave,,,,
401,776,Baltimore Ave,,,,
402,777,Baltimore Ave,,,,
403,778,Baltimore Ave,,,233,239
404,779,Baltimore Ave,,,,
405,780,Baltimore Ave,,,,
406,781,Baltimore Ave,,,,
407,782,Baltimore Ave,,,,
408,783,Baltimore Ave,,,,
409,784,Baltimore Ave,,,,
410,785,Baltimore Ave,,,,
411,786,Baltimore Ave,,,,
412,787,Washington Ave,,,234,24
413,788,Washington Ave,,,,
414,789,Washington Ave,,,,
415,790,Washington Ave,,,,
416,791,Washington Ave,,,235,241
417,792,Washington Ave,,,,
418,793,Washington Ave,,,,
419,794,Washington Ave,,,,
420,795,Washington Ave,,,,
421,796,Washington Ave,,,,
422,797,Washington Ave,,,,
423,737,Calvert Ave,82,,1,1
424,738,College Ave,,,2,2
425,739,College Ave,,,3,3
426,740,Wellesley Ave,,,4,4
427,741,Wellesley Ave,,,5,5
428,742,Yale Ave,617,,6,6
429,743,Branchville Rd,536,,7,7
430,744,Baltimore Blvd,795,,8,8
431,745,Branchville Rd,614,,9,9
432,746,Rhode Island Ave,,,1,1
433,747,Rhode Island Ave,,,11,11
434,748,,,,12,12
435,749,,,,13,13
436,750,Augusta Ave,,,14,14
437,751,,,,15,15
438,752,,,,16,16
439,753,,,,17,17
440,754,,,,18,18
441,755,,,,19,19
442,756,,,,2,2
443,757,,,,21,21
444,758,,,,22,22
445,759,,,,23,23
446,760,,,,24,24
447,761,,,,25,25
448,762,,,,26,26
449,763,,,,27,27
450,764,Augusta,,,28,28
451,765,,,,29,29
452,766,,,,3,3
453,767,,,,31,31
454,768,,,,32,32
455,769,,,,33,33
456,770,,,,34,34
457,771,,,,35,35
458,772,,,,36,36
459,773,,,,37,37
460,774,,,,38,38
461,775,,,,39,39
462,776,,,,4,4
463,777,,,,41,41
464,778,,,,42,42
465,779,,,,43,43
466,780,,,,44,44
467,781,,,,45,45
468,782,,,,46,46
469,783,,,,47,47
470,784,,,,48,48
471,785,,,,49,49
472,786,,,,5,5
